week_date,week_number,month_number,calendar_year,region,platform,segment,age_band,demographic,customer_type,transactions,sales,avr_transaction
2020-08-31,35,8,2020,ASIA,Retail,C3,Retirees,Couples,New,120631,3656163,30.31
2020-08-31,35,8,2020,ASIA,Retail,F1,"Young Aged",Families,New,31574,996575,31.56
2020-08-31,35,8,2020,USA,Retail,null,Unknown,Unknown,Guest,529151,16509610,31.20
2020-08-31,35,8,2020,EUROPE,Retail,C1,"Young Aged",Couples,New,4517,141942,31.42
2020-08-31,35,8,2020,AFRICA,Retail,C2,"Middle Aged",Couples,New,58046,1758388,30.29
2020-08-31,35,8,2020,CANADA,Shopify,F2,"Middle Aged",Families,Existing,1336,243878,182.54
2020-08-31,35,8,2020,AFRICA,Shopify,F3,Retirees,Families,Existing,2514,519502,206.64
2020-08-31,35,8,2020,ASIA,Shopify,F1,"Young Aged",Families,Existing,2158,371417,172.11
2020-08-31,35,8,2020,AFRICA,Shopify,F2,"Middle Aged",Families,New,318,49557,155.84
2020-08-31,35,8,2020,AFRICA,Retail,C3,Retirees,Couples,New,111032,3888162,35.02
2020-08-31,35,8,2020,USA,Shopify,F1,"Young Aged",Families,Existing,1398,260773,186.53
2020-08-31,35,8,2020,OCEANIA,Shopify,C2,"Middle Aged",Couples,Existing,4661,882690,189.38
2020-08-31,35,8,2020,"SOUTH AMERICA",Retail,C2,"Middle Aged",Couples,Existing,1029,38762,37.67
2020-08-31,35,8,2020,"SOUTH AMERICA",Shopify,C4,Retirees,Couples,New,6,917,152.83
2020-08-31,35,8,2020,EUROPE,Shopify,F3,Retirees,Families,Existing,115,35215,306.22
2020-08-31,35,8,2020,OCEANIA,Retail,F3,Retirees,Families,Existing,551905,30371770,55.03
2020-08-31,35,8,2020,ASIA,Shopify,C3,Retirees,Couples,Existing,1969,374327,190.11
2020-08-31,35,8,2020,AFRICA,Retail,F1,"Young Aged",Families,Existing,97604,5185233,53.13
2020-08-31,35,8,2020,OCEANIA,Retail,C2,"Middle Aged",Couples,New,111219,2980673,26.80
2020-08-31,35,8,2020,USA,Retail,F1,"Young Aged",Families,New,11820,463738,39.23
2020-08-31,35,8,2020,"SOUTH AMERICA",Retail,F3,Retirees,Families,Existing,1363,65730,48.22
2020-08-31,35,8,2020,AFRICA,Retail,C3,Retirees,Couples,Existing,284971,14430196,50.64
2020-08-31,35,8,2020,ASIA,Retail,F2,"Middle Aged",Families,New,70496,2176980,30.88
2020-08-31,35,8,2020,AFRICA,Shopify,F1,"Young Aged",Families,Existing,2678,478756,178.77
2020-08-31,35,8,2020,USA,Shopify,C4,Retirees,Couples,New,22,3319,150.86
2020-08-31,35,8,2020,CANADA,Retail,F3,Retirees,Families,Existing,94274,5306746,56.29
2020-08-31,35,8,2020,ASIA,Retail,F1,"Young Aged",Families,Existing,94287,4511841,47.85
2020-08-31,35,8,2020,EUROPE,Retail,null,Unknown,Unknown,New,3064,134249,43.81
2020-08-31,35,8,2020,EUROPE,Shopify,F1,"Young Aged",Families,New,7,1579,225.57
2020-08-31,35,8,2020,"SOUTH AMERICA",Retail,C4,Retirees,Couples,New,329,11451,34.81
2020-08-31,35,8,2020,"SOUTH AMERICA",Retail,F1,"Young Aged",Families,Existing,854,31589,36.99
2020-08-31,35,8,2020,EUROPE,Shopify,C2,"Middle Aged",Couples,Existing,180,53567,297.59
2020-08-31,35,8,2020,EUROPE,Shopify,F2,"Middle Aged",Families,New,15,4023,268.20
2020-08-31,35,8,2020,AFRICA,Retail,C2,"Middle Aged",Couples,Existing,112361,4768214,42.44
2020-08-31,35,8,2020,ASIA,Shopify,C2,"Middle Aged",Couples,Existing,2269,396909,174.93
2020-08-31,35,8,2020,AFRICA,Shopify,C4,Retirees,Couples,New,58,8562,147.62
2020-08-31,35,8,2020,USA,Retail,F3,Retirees,Families,Existing,142898,8723663,61.05
2020-08-31,35,8,2020,OCEANIA,Shopify,C3,Retirees,Couples,Existing,4703,957939,203.69
2020-08-31,35,8,2020,"SOUTH AMERICA",Shopify,null,Unknown,Unknown,New,40,7625,190.63
2020-08-31,35,8,2020,USA,Shopify,C1,"Young Aged",Couples,New,164,20635,125.82
2020-08-31,35,8,2020,"SOUTH AMERICA",Shopify,C1,"Young Aged",Couples,New,20,2265,113.25
2020-08-31,35,8,2020,EUROPE,Retail,C1,"Young Aged",Couples,Existing,14583,633917,43.47
2020-08-31,35,8,2020,OCEANIA,Shopify,F2,"Middle Aged",Families,New,452,72293,159.94
2020-08-31,35,8,2020,"SOUTH AMERICA",Retail,F2,"Middle Aged",Families,New,382,13839,36.23
2020-08-31,35,8,2020,"SOUTH AMERICA",Retail,C3,Retirees,Couples,Existing,1503,68009,45.25
2020-08-31,35,8,2020,CANADA,Retail,F1,"Young Aged",Families,New,7033,269176,38.27
2020-08-31,35,8,2020,"SOUTH AMERICA",Retail,null,Unknown,Unknown,Existing,329,10874,33.05
2020-08-31,35,8,2020,CANADA,Retail,F1,"Young Aged",Families,Existing,24153,1306932,54.11
2020-08-31,35,8,2020,EUROPE,Shopify,null,Unknown,Unknown,Existing,15,3507,233.80
2020-08-31,35,8,2020,EUROPE,Retail,F3,Retirees,Families,Existing,18676,1144376,61.28
2020-08-31,35,8,2020,"SOUTH AMERICA",Shopify,C3,Retirees,Couples,New,19,3325,175.00
2020-08-31,35,8,2020,CANADA,Shopify,null,Unknown,Unknown,Existing,87,15074,173.26
2020-08-31,35,8,2020,CANADA,Retail,C4,Retirees,Couples,Existing,29577,1473178,49.81
2020-08-31,35,8,2020,OCEANIA,Retail,F1,"Young Aged",Families,New,41631,1369115,32.89
2020-08-31,35,8,2020,ASIA,Retail,F3,Retirees,Families,Existing,402652,20255591,50.31
2020-08-31,35,8,2020,ASIA,Retail,null,Unknown,Unknown,Guest,1936351,48773122,25.19
2020-08-31,35,8,2020,ASIA,Shopify,C2,"Middle Aged",Couples,New,413,55780,135.06
2020-08-31,35,8,2020,EUROPE,Shopify,F3,Retirees,Families,New,4,554,138.50
2020-08-31,35,8,2020,USA,Retail,C2,"Middle Aged",Couples,Existing,43493,2126153,48.88
